traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
2.0,0.0,0.0,0.0,-0.040571164,1027.2001,0.8000001,0.53027934
2.0,0.1,0.002543543,0.049801916,0.20188817,944.97504,0.73596185,0.46614265
2.0,0.2,0.009750424,0.09330526,0.18551469,865.69165,0.67421466,0.40430823
2.0,0.3,0.0210023,0.13074026,0.116439156,789.3499,0.6147585,0.34477603
2.0,0.4,0.03570386,0.16233717,0.13506652,715.9499,0.5575934,0.28754607
2.0,0.5,0.053282812,0.18832621,-0.06509961,645.4915,0.5027193,0.23261817
2.0,0.6,0.07318987,0.20893757,0.2878161,577.97485,0.45013618,0.17999211
2.0,0.7,0.09489877,0.2244014,0.15578409,513.39984,0.3998441,0.12966764
2.0,0.8,0.11790626,0.23494785,0.093530685,451.7665,0.35184306,0.081644416
2.0,0.9,0.1417321,0.240807,0.29551604,393.07483,0.30613306,0.03592204
2.0,1.0,0.16591907,0.24220893,0.3279898,337.32483,0.26271406,-0.007499918
2.0,1.1,0.19003296,0.23938365,0.32933578,284.5165,0.22158608,-0.04862193
2.0,1.2,0.21366239,0.23256122,0.14849988,234.64987,0.18274912,-0.08744451
2.0,1.3,0.23641899,0.22197156,0.2476935,187.7249,0.14620319,-0.12396818
2.0,1.4,0.25793776,0.20784451,0.07508745,143.7416,0.11194828,-0.1581935
2.0,1.5,0.27787656,0.19040982,0.25984463,102.69997,0.0799844,-0.19012104
2.0,1.6,0.29591623,0.16989721,0.15243983,64.60001,0.05031154,-0.21975137
2.0,1.7,0.31176054,0.14653637,0.052798755,29.441734,0.0229297,-0.24708511
2.0,1.8,0.32513615,0.12055687,0.13728002,-2.7748737,-0.0021611166,-0.27212283
2.0,1.9,0.33579272,0.09218831,0.18740588,-32.04981,-0.024960909,-0.2948651
2.0,2.0,0.34350273,0.061660193,0.2525453,-58.383068,-0.04546968,-0.31531253
2.0,2.1,0.3480617,0.02920198,0.047314327,-81.77466,-0.06368743,-0.3334657
2.0,2.2,0.34928805,-0.0049569136,0.09143411,-102.22457,-0.079614155,-0.34932515
2.0,2.3,0.34702304,-0.04058713,0.111351155,-119.73281,-0.09324986,-0.36289147
2.0,2.4,0.34113097,-0.07745936,-0.11350039,-134.29938,-0.104594536,-0.37416518
2.0,2.5,0.33149904,-0.11534433,-0.09912173,-145.92427,-0.11364819,-0.38314676
2.0,2.6,0.31803736,-0.15401284,-0.084791206,-154.6075,-0.12041082,-0.38983676
2.0,2.7,0.30067897,-0.19323575,-0.3014262,-160.34904,-0.12488244,-0.39423564
